Borough,CONDOMINIUMS COMPARABLE PROPERTIES Boro-Block-Lot,CONDOMINIUMS COMPARABLE PROPERTIES Condo Section,CONDOMINIUMS COMPARABLE PROPERTIES Address,CONDOMINIUMS COMPARABLE PROPERTIES Neighborhood,CONDOMINIUMS COMPARABLE PROPERTIES Building Classification,CONDOMINIUMS COMPARABLE PROPERTIES Total Units,CONDOMINIUMS COMPARABLE PROPERTIES Year Built,CONDOMINIUMS COMPARABLE PROPERTIES Gross SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Gross Income,CONDOMINIUMS COMPARABLE PROPERTIES Gross Income per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Expense,CONDOMINIUMS COMPARABLE PROPERTIES Expense per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Net Operating Income,CONDOMINIUMS COMPARABLE PROPERTIES Full Market Value,CONDOMINIUMS COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Condo in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Condo in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Condo in miles
Bronx,2-02315-7501,0093-R1,305 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,R2-CONDOMINIUM,11,1904,21092,257533,12.21,137520,6.52,120013,653000,30.96,2-02287-0133,458 EAST 143 STREET,MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,37,1910,22224,263446,11.85,134152,6.04,129294,825000,37.12,0.3,2-02287-0046,489 EAST 142 STREET,MOTT HAVEN/PORT MORRIS,D3-ELEVATOR,96,1973,97926,1230694,12.57,685907,7,544787,3649000,37.26,0.3,, , , , , , , , , , , , , , 
Bronx,2-02364-7501,0099-R1,3044 3 AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,61,2006,72000,1174320,16.31,451440,6.27,722880,4504003,62.56,2-02707-0030,715 FOX STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,50,2008,60373,1192367,19.75,596184,9.88,596183,4268000,70.69,0.77,2-02688-0036,853 MACY PLACE,MORRISANIA/LONGWOOD,D1-ELEVATOR,63,2009,75119,966782,12.87,666306,8.87,300476,1175000,15.64,0.6,, , , , , , , , , , , , , , 
Bronx,2-02369-7502,0122-R1,500 EAST 165 STREET,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,128,2007,150121,2005617,13.36,1122905,7.48,882712,5854000,39,2-02751-0022,1107 BRYANT AVENUE,MORRISANIA/LONGWOOD,D5-ELEVATOR,97,1923,88463,1238859,14,644239,7.28,594620,2838000,32.08,0.98,2-02674-0051,645 PROSPECT AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,109,1985,112536,1590276,14.13,826943,7.35,763333,4635000,41.19,0.84,, , , , , , , , , , , , , , 
Bronx,2-02378-7501,0126-R1,3055 3 AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,58,2007,63872,818200,12.81,445188,6.97,373012,2491000,39,2-02690-0173,861 EAST 163 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,74,2004,72000,741173,10.29,397824,5.53,343349,2138000,29.69,0.73,2-02688-0036,853 MACY PLACE,MORRISANIA/LONGWOOD,D1-ELEVATOR,63,2009,75119,966782,12.87,666306,8.87,300476,1175000,15.64,0.65,, , , , , , , , , , , , , , 
Bronx,2-02381-7501,0115-R1,837 WASHINGTON AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,90,2008,128643,1718670,13.36,962250,7.48,756420,5017000,39,2-02647-0005,820 JACKSON AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,61,1969,49608,742588,14.97,445104,8.97,297484,1529000,30.82,0.38,2-02370-0049,501 EAST 165 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,42,2006,41000,547775,13.36,301264,7.35,246511,1132000,27.61,0.39,2-02432-0005,986 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,"34,125","440,880",12.92,"264,517",7.75,"176,363","1,056,000",30.95,0.47
Bronx,2-02382-7501,0094-R1,871 ELTON AVENUE,MORRISANIA/LONGWOOD,R9-CONDOMINIUM,110,2005,99240,1271264,12.81,691703,6.97,579561,3870000,39,2-02426-0008,1124 CLAY AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,54,1920,46400,692561,14.93,422451,9.1,270110,1441000,31.06,0.46,2-02370-0049,501 EAST 165 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,42,2006,41000,547775,13.36,301264,7.35,246511,1132000,27.61,0.37,2-02398-0027,395 EAST 151 STREET,MELROSE/CONCOURSE,D7-ELEVATOR,39,1931,"36,360","477,689",13.14,"306,682",8.43,"171,007","1,137,000",31.27,0.44
Bronx,2-02382-7502,0108-R1,406 EAST 161 STREET,MORRISANIA/LONGWOOD,R9-CONDOMINIUM,88,2006,76984,1184784,15.39,411864,5.35,772920,5304000,68.9,2-03263-0050,140 VAN CORTLANDT AVENUE,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,88,1943,70300,1316095,18.72,615986,8.76,700109,5032000,71.58,4.31,2-02840-0054,120 MARCY PLACE,MELROSE/CONCOURSE,D1-ELEVATOR,196,1941,70200,1100529,15.68,421091,6,679438,4649000,66.23,0.98,, , , , , , , , , , , , , , 
Bronx,2-02516-7501,0073-R1,1209 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,R4-CONDOMINIUM,28,2005,24262,377759,15.57,167649,6.91,210110,1499988,61.82,2-02876-0165,1684 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1924,21000,326961,15.57,174432,8.31,152529,1045000,49.76,0.86,2-02879-0123,1805 DR M L KING JR BOULE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,26,1923,22500,333198,14.81,193184,8.59,140014,432000,19.2,1.2,2-02861-0050,1702 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,28,1927,"22,500","353,925",15.73,"165,825",7.37,"188,100","587,000",26.09,0.99
Bronx,2-02651-7501,0020-R1,1111 FOREST AVENUE,MORRISANIA/LONGWOOD,R2-CONDOMINIUM,8,1903,7745,102931,13.29,54215,7,48716,324000,41.83,2-02963-0005,1410 PROSPECT AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,13,1904,8164,118520,14.52,75369,9.23,43151,298000,36.5,0.51,2-02612-0002,1230 FULTON AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,14,1910,9504,125385,13.19,69266,7.29,56119,300000,31.57,0.26,, , , , , , , , , , , , , , 
Bronx,2-02686-7501,0053-R1,717 KELLY STREET,MORRISANIA/LONGWOOD,R2-CONDOMINIUM,13,1909,14384,221370,15.39,76954,5.35,144416,991003,68.9,2-02684-0068,972 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C7-WALK-UP,48,1915,41270,655376,15.88,322153,7.81,333223,1800000,43.62,0.12,2-02674-0027,592 UNION AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,582130,17.18,320197,9.45,261933,1893000,55.86,0.21,, , , , , , , , , , , , , , 
Bronx,2-02690-7501,0131-R1,871 WESTCHESTER AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,70,2005,72717,744622,10.24,395580,5.44,349042,2023500,27.83,2-02690-0081,881 EAST 162 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,86,2005,82000,835580,10.19,501840,6.12,333740,2079000,25.35,0.06,2-02690-0173,861 EAST 163 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,74,2004,72000,741173,10.29,397824,5.53,343349,2138000,29.69,0.14,, , , , , , , , , , , , , , 
Bronx,2-02690-7502,0132-R1,890 PROSPECT AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,124,2005,125905,1289267,10.24,593063,4.71,696204,4336000,34.44,2-02751-0022,1107 BRYANT AVENUE,MORRISANIA/LONGWOOD,D5-ELEVATOR,97,1923,88463,1238859,14,644239,7.28,594620,2838000,32.08,0.66,2-02674-0051,645 PROSPECT AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,109,1985,112536,1590276,14.13,826943,7.35,763333,4635000,41.19,0.46,, , , , , , , , , , , , , , 
Bronx,2-02703-7501,0074-R1,950 WESTCHESTER AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,111,2006,112935,1512200,13.39,800710,7.09,711490,4734000,41.92,2-02456-0181,185 MC CLELLAN STREET,MELROSE/CONCOURSE,D7-ELEVATOR,117,1936,123000,1264238,10.28,748623,6.09,515615,3210000,26.1,1.38,2-03024-0008,355 EAST 184 STREET,FORDHAM,D7-ELEVATOR,112,1972,120000,1606800,13.39,850800,7.09,756000,4815000,40.13,2.51,, , , , , , , , , , , , , , 
Bronx,2-02742-7501,0072-R1,951 HOE AVENUE,MORRISANIA/LONGWOOD,R9-CONDOMINIUM,300,2005,279904,4265737,15.24,1976122,7.06,2289615,15729000,56.19,2-02749-0063,973 ALDUS STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,22,1920,13980,224933,16.09,114725,8.21,110208,751000,53.72,0.15,2-02743-0019,1054 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,D7-ELEVATOR,59,1910,63608,969157,15.24,449149,7.06,520008,3572000,56.16,0.14,2-02735-0005,916 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,D7-ELEVATOR,38,1911,"50,030","759,513",15.18,"448,082",8.96,"311,431","2,140,000",42.77,0.17
