Borough,CONDOMINIUMS COMPARABLE PROPERTIES Boro-Block-Lot,CONDOMINIUMS COMPARABLE PROPERTIES Condo Section,CONDOMINIUMS COMPARABLE PROPERTIES Address,CONDOMINIUMS COMPARABLE PROPERTIES Neighborhood,CONDOMINIUMS COMPARABLE PROPERTIES Building Classification,CONDOMINIUMS COMPARABLE PROPERTIES Total Units,CONDOMINIUMS COMPARABLE PROPERTIES Year Built,CONDOMINIUMS COMPARABLE PROPERTIES Gross SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Gross Income,CONDOMINIUMS COMPARABLE PROPERTIES Gross Income per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Expense,CONDOMINIUMS COMPARABLE PROPERTIES Expense per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Net Operating Income,CONDOMINIUMS COMPARABLE PROPERTIES Full Market Value,CONDOMINIUMS COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Condo in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Condo in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Condo in miles
Bronx,2-02381-7501,0115-R1,837 WASHINGTON AVENUE,MORRISANIA/LONGWOOD,R4-CONDOMINIUM,90,2008,128643,1718670,13.36,962250,7.48,756420,5017000,39,2-02647-0005,820 JACKSON AVENUE,MORRISANIA/LONGWOOD,D1-ELEVATOR,61,1969,49608,742588,14.97,445104,8.97,297484,1529000,30.82,0.38,2-02370-0049,501 EAST 165 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,42,2006,41000,547775,13.36,301264,7.35,246511,1132000,27.61,0.39,2-02432-0005,986 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,"34,125","440,880",12.92,"264,517",7.75,"176,363","1,056,000",30.95,0.47
Bronx,2-02382-7501,0094-R1,871 ELTON AVENUE,MORRISANIA/LONGWOOD,R9-CONDOMINIUM,110,2005,99240,1271264,12.81,691703,6.97,579561,3870000,39,2-02426-0008,1124 CLAY AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,54,1920,46400,692561,14.93,422451,9.1,270110,1441000,31.06,0.46,2-02370-0049,501 EAST 165 STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,42,2006,41000,547775,13.36,301264,7.35,246511,1132000,27.61,0.37,2-02398-0027,395 EAST 151 STREET,MELROSE/CONCOURSE,D7-ELEVATOR,39,1931,"36,360","477,689",13.14,"306,682",8.43,"171,007","1,137,000",31.27,0.44
Bronx,2-02516-7501,0073-R1,1209 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,R4-CONDOMINIUM,28,2005,24262,377759,15.57,167649,6.91,210110,1499988,61.82,2-02876-0165,1684 NELSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,32,1924,21000,326961,15.57,174432,8.31,152529,1045000,49.76,0.86,2-02879-0123,1805 DR M L KING JR BOULE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,26,1923,22500,333198,14.81,193184,8.59,140014,432000,19.2,1.2,2-02861-0050,1702 DAVIDSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,28,1927,"22,500","353,925",15.73,"165,825",7.37,"188,100","587,000",26.09,0.99
Bronx,2-02742-7501,0072-R1,951 HOE AVENUE,MORRISANIA/LONGWOOD,R9-CONDOMINIUM,300,2005,279904,4265737,15.24,1976122,7.06,2289615,15729000,56.19,2-02749-0063,973 ALDUS STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,22,1920,13980,224933,16.09,114725,8.21,110208,751000,53.72,0.15,2-02743-0019,1054 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,D7-ELEVATOR,59,1910,63608,969157,15.24,449149,7.06,520008,3572000,56.16,0.14,2-02735-0005,916 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,D7-ELEVATOR,38,1911,"50,030","759,513",15.18,"448,082",8.96,"311,431","2,140,000",42.77,0.17
Bronx,2-02985-7501,0125-R1,1926 CROTONA PARKWAY,EAST TREMONT,RR-CONDOMINIUM,98,2007,98608,1943564,19.71,874604,8.87,1068960,7652000,77.6,2-02816-0066,1305 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,73,2003,38212,755069,19.76,339705,8.89,415364,2973000,77.8,1.5,2-03124-0001,883 EAST 180 STREET,EAST TREMONT,D1-ELEVATOR,196,1979,181093,3145885,17.37,1437121,7.94,1708764,9702000,53.57,0.28,2-03125-0001,901 EAST 180 STREET,EAST TREMONT,D7-ELEVATOR,76,1930,"73,824","1,455,324",19.71,"708,848",9.60,"746,476","5,344,000",72.39,0.28
Bronx,2-03125-7501,0104-R1,2155 DALY AVENUE,EAST TREMONT,R4-CONDOMINIUM,12,2007,14664,254714,17.37,116432,7.94,138282,998001,68.06,2-03125-0001,901 EAST 180 STREET,EAST TREMONT,D7-ELEVATOR,76,1930,73824,1455324,19.71,708848,9.6,746476,5344000,72.39,0.06,2-03124-0001,883 EAST 180 STREET,EAST TREMONT,D1-ELEVATOR,196,1979,181093,3145885,17.37,1437121,7.94,1708764,9702000,53.57,0.08,2-03128-0013,934 EAST 181 STREET,EAST TREMONT,D1-ELEVATOR,40,1931,"33,996","584,493",17.19,"315,271",9.27,"269,222","1,725,000",50.74,0.09
Bronx,2-03311-7501,0034-R1,3130 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,R9-CONDOMINIUM,110,1968,79920,925474,11.58,403596,5.05,521878,2981000,37.3,2-03308-0051,253 EAST 202 STREET,BEDFORD PARK/NORWOOD,D1-ELEVATOR,101,1965,101050,1169817,11.58,510089,5.05,659728,3223000,31.9,0.12,2-03307-0072,3010 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,D7-ELEVATOR,96,1963,106146,1219700,11.49,565101,5.32,654599,4201000,39.58,0.15,2-03311-0072,3175 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,68,1930,"64,876","775,268",11.95,"419,099",6.46,"356,169","1,529,000",23.57,0.15
Bronx,2-03318-7501,0048-R1,2805 CRESTON AVENUE,BEDFORD PARK/NORWOOD,R2-CONDOMINIUM,18,1993,16638,199323,11.98,97000,5.83,102323,651996,39.19,2-03283-0025,2732 MARION AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,33,2007,33947,406602,11.98,198000,5.83,208602,937000,27.6,0.39,2-03301-0050,2840 VALENTINE AVENUE,BEDFORD PARK/NORWOOD,C7-WALK-UP,16,1913,12393,156400,12.62,86007,6.94,70393,471000,38.01,0.2,2-03297-0049,2925 BRIGGS AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,35,1959,"32,480","361,158",11.12,"172,847",5.32,"188,311","988,000",30.42,0.34
Bronx,2-03432-7501,0033-R1,228 NEPTUNE COURT,SOUNDVIEW,R2-CONDOMINIUM,40,1989,47376,620152,13.09,282835,5.97,337317,2244000,47.37,2-03807-0048,2165 CHATTERTON AVENUE,CASTLE HILL/UNIONPORT,D7-ELEVATOR,81,1929,88184,1183429,13.42,615524,6.98,567905,3763000,42.67,1.46,2-03801-0001,2010 POWELL AVENUE,CASTLE HILL/UNIONPORT,D1-ELEVATOR,91,1929,74890,980263,13.09,447288,5.97,532975,2805000,37.45,1.58,2-03681-0001,2001 STORY AVENUE,CASTLE HILL/UNIONPORT,D3-ELEVATOR,355,1973,"421,833","5,268,694",12.49,"2,897,993",6.87,"2,370,701","15,895,000",37.68,1.24
Bronx,2-03432-7501,0033-R4,232 FLEET COURT,SOUNDVIEW,R2-CONDOMINIUM,18,1989,22199,290585,13.09,132528,5.97,158057,1052003,47.39,2-03715-0030,1056 BOYNTON AVENUE,SOUNDVIEW,D7-ELEVATOR,79,1939,70500,998079,14.16,401055,5.69,597024,4141000,58.74,1.73,2-03801-0001,2010 POWELL AVENUE,CASTLE HILL/UNIONPORT,D1-ELEVATOR,91,1929,74890,980263,13.09,447288,5.97,532975,2805000,37.45,1.58,2-03716-0036,1065 MANOR AVENUE,SOUNDVIEW,D7-ELEVATOR,44,1930,"48,000","544,690",11.35,"275,408",5.74,"269,282","1,551,000",32.31,1.70
