Borough,COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,COOPERATIVES COMPARABLE PROPERTIES Address,COOPERATIVES COMPARABLE PROPERTIES Neighborhood,COOPERATIVES COMPARABLE PROPERTIES Building Classification,COOPERATIVES COMPARABLE PROPERTIES Total Units,COOPERATIVES COMPARABLE PROPERTIES Year Built,COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,COOPERATIVES COMPARABLE PROPERTIES Full Market Value,COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
Bronx,2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,145975,13.53,85233,7.9,60742,352000,32.63,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.25,2-02285-0066,"455 140 STREET
Bronx, NY
(40.80995534134836, -73.92079761074096)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103815,7.84,75190,498000,37.63,0.25,2-02283-0028,440 EAST 139 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,16,1915,"15,398","131,103",8.51,"85,214",5.53,"45,889","274,000",17.79,0.35
Bronx,2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,106064,9.78,65829,6.07,40235,238000,21.95,2-02401-0012,"374 155 STREET
Bronx, NY
(40.82040334905784, -73.91689735367801)",MELROSE/CONCOURSE,C1-WALK-UP,21,1914,17000,151382,8.9,98405,5.79,52977,316000,18.59,0.35,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.4,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,"17,520","171,413",9.78,"106,268",6.07,"65,145","386,000",22.03,0.56
Bronx,2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,117217,12.45,64493,6.85,52724,308000,32.71,2-02301-0044,"351 138 STREET
Bronx, NY
(40.80978184172412, -73.92442320013855)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,9280,129123,13.91,70368,7.58,58755,387000,41.7,0,2-02301-0040,"361 138 STREET
Bronx, NY
(40.80964341820642, -73.92409489511728)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,8855,142255,16.06,72587,8.2,69668,475000,53.64,0,2-02282-0007,234 WILLIS AVENUE,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,9,1931,"7,698","67,241",8.73,"38,083",4.95,"29,158","538,000",69.89,0.17
Bronx,2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,363843,7.87,225582,4.88,138261,816000,17.66,2-02365-0026,"873 BROOK AVENUE
Bronx, NY
(40.82268281488068, -73.91055276401283)",MORRISANIA/LONGWOOD,C1-WALK-UP,20,1920,15750,147790,9.38,102469,6.51,45321,269000,17.08,0.17,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.17,2-02376-0032,415 EAST 154 STREET,MORRISANIA/LONGWOOD,C1-WALK-UP,27,1912,"17,785","159,879",8.99,"103,921",5.84,"55,958","334,000",18.78,0.23
Bronx,2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,130558,10.32,87418,6.91,43140,269000,21.26,2-02609-0035,"1203 FULTON AVENUE
Bronx, NY
(40.83025640006807, -73.9048021527311)",MORRISANIA/LONGWOOD,C1-WALK-UP,29,1911,20825,238878,11.47,152888,7.34,85990,552000,26.51,0.14,2-02615-0052,"1233 BOSTON ROAD
Bronx, NY
(40.83001533750031, -73.90180025626495)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1912,15765,162641,10.32,108963,6.91,53678,334000,21.19,0.23,2-02615-0012,1254 FRANKLIN AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,20,1911,"15,485","154,895",10.00,"96,032",6.20,"58,863","367,000",23.70,0.23
Bronx,2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,168412,9.78,104525,6.07,63887,378000,21.95,2-02376-0032,"415 154 STREET
Bronx, NY
(40.81941481172951, -73.91566000935333)",MORRISANIA/LONGWOOD,C1-WALK-UP,27,1912,17785,159879,8.99,103921,5.84,55958,334000,18.78,0.05,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.3,2-02620-0001,575 EAST 161 STREET,MORRISANIA/LONGWOOD,C7-WALK-UP,14,1914,"10,829","122,892",11.35,"80,317",7.42,"42,575","274,000",25.30,0.46
Bronx,2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,94006,13.53,54472,7.84,39534,219000,31.52,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.55,2-02285-0067,"451 140 STREET
Bronx, NY
(40.80998915585151, -73.92087911236392)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103814,7.84,75191,498000,37.63,0.55,2-02285-0066,455 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,"13,235","179,005",13.53,"103,815",7.84,"75,190","498,000",37.63,0.55
Bronx,2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,102287,13.53,59270,7.84,43017,285000,37.7,2-02285-0064,"461 140 STREET
Bronx, NY
(40.809904619543346, -73.92067535818528)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1905,13235,179005,13.53,104499,7.9,74506,493000,37.25,0.55,2-02285-0067,"451 140 STREET
Bronx, NY
(40.80998915585151, -73.92087911236392)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,13235,179005,13.53,103814,7.84,75191,498000,37.63,0.55,2-02285-0066,455 EAST 140 STREET,MOTT HAVEN/PORT MORRIS,C1-WALK-UP,20,1902,"13,235","179,005",13.53,"103,815",7.84,"75,190","498,000",37.63,0.55
Bronx,2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,101840,9.54,66185,6.2,35655,212000,19.86,2-02421-0022,"300 162 STREET
Bronx, NY
(40.826141449049565, -73.91685368830328)",MELROSE/CONCOURSE,C1-WALK-UP,21,1931,16575,158155,9.54,102806,6.2,55349,328000,19.79,0,2-02421-0011,"904 MORRIS AVENUE
Bronx, NY
(40.82604213560156, -73.91815984901764)",MELROSE/CONCOURSE,C7-WALK-UP,27,1931,16782,235136,14.01,123918,7.38,111218,732000,43.62,0,2-02422-0010,272 EAST 163 STREET,MELROSE/CONCOURSE,C7-WALK-UP,21,1912,"13,235","194,820",14.72,"118,837",8.98,"75,983","524,000",39.59,0.06
Bronx,2-02430-0035,"1187 CLAY AVENUE
Bronx, NY
(40.83184294217393, -73.91096005509546)",MELROSE/CONCOURSE,C6-WALK-UP,12,1913,11500,100395,8.73,65205,5.67,35190,210000,18.26,2-02430-0039,"1179 CLAY AVENUE
Bronx, NY
(40.83167968158792, -73.91105273328387)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,100339,8.73,65216,5.67,35123,210000,18.26,0,2-02430-0041,"1175 CLAY AVENUE
Bronx, NY
(40.831598475595726, -73.91110145687918)",MELROSE/CONCOURSE,C1-WALK-UP,12,1913,11500,100339,8.73,65218,5.67,35121,210000,18.26,0,2-02426-0055,1186 CLAY AVENUE,MELROSE/CONCOURSE,C1-WALK-UP,13,1929,"10,980","100,339",9.14,"65,222",5.94,"35,117","209,000",19.03,0.05
Bronx,2-02443-0170,"773 CONCOURSE VILLAGE
Bronx, NY
(40.82292362586588, -73.91996566836853)",MELROSE/CONCOURSE,D4-ELEVATOR,937,1964,876500,13173795,15.03,7774555,8.87,5399240,33750000,38.51,2-02440-0001,"2880 PARK AVENUE
Bronx, NY
(40.81883013179084, -73.92443350419356)",MELROSE/CONCOURSE,D3-ELEVATOR,160,1982,156504,2490337,15.91,1369687,8.75,1120650,7275000,46.48,0.24,2-02460-0001,"900 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,301,1923,276550,4156980,15.03,2452472,8.87,1704508,11729000,42.41,0.34,2-02271-0005,512 EAST 145 STREET,MOTT HAVEN/PORT MORRIS,D6-ELEVATOR,189,1972,"194,388","5,009,398",25.77,"3,613,545",18.59,"1,395,853","7,845,000",40.36,0.82
Bronx,2-02443-9080,"780 CONCOURSE VILLAGE
Bronx, NY
(40.823141442756324, -73.91976752500315)",MELROSE/CONCOURSE,D4-ELEVATOR,936,1963,862500,12963375,15.03,7650375,8.87,5313000,36558000,42.39,2-02460-0001,"900 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D7-ELEVATOR,301,1923,276550,4156980,15.03,2452472,8.87,1704508,11729000,42.41,0.34,2-02440-0001,"2880 PARK AVENUE
Bronx, NY
(40.81883013179084, -73.92443350419356)",MELROSE/CONCOURSE,D3-ELEVATOR,160,1982,156504,2490337,15.91,1369687,8.75,1120650,7275000,46.48,0.24,2-02271-0005,512 EAST 145 STREET,MOTT HAVEN/PORT MORRIS,D6-ELEVATOR,189,1972,"194,388","5,009,398",25.77,"3,613,545",18.59,"1,395,853","7,845,000",40.36,0.82
Bronx,2-02447-0001,"1010 SHERMAN AVENUE
Bronx, NY
(40.829403500934774, -73.91841727035265)",MELROSE/CONCOURSE,D4-ELEVATOR,67,1958,80009,792089,9.9,483254,6.04,308835,1628000,20.35,2-02455-0018,"984 SHERIDAN AVENUE
Bronx, NY
(40.829226416317205, -73.91947838639817)",MELROSE/CONCOURSE,D1-ELEVATOR,78,1928,86000,851046,9.9,519112,6.04,331934,1963000,22.83,0.09,2-02461-0074,"955 SHERIDAN AVENUE
Bronx, NY
(40.82835425584244, -73.92007484099342)",MELROSE/CONCOURSE,D1-ELEVATOR,94,1948,92180,1237241,13.42,750251,8.14,486990,2189000,23.75,0.14,2-02461-0016,180 EAST 163 STREET,MELROSE/CONCOURSE,D1-ELEVATOR,64,1941,"68,846","662,935",9.63,"430,875",6.26,"232,060","1,376,000",19.99,0.19
Bronx,2-02452-0029,"1113 GRANT AVENUE
Bronx, NY
(40.83143682651718, -73.91626611771085)",MELROSE/CONCOURSE,C6-WALK-UP,70,1926,57080,486892,8.53,316223,5.54,170669,1021000,17.89,2-02456-0042,"200 166 STREET
Bronx, NY
(40.831388066877246, -73.91830933908803)",MELROSE/CONCOURSE,C1-WALK-UP,24,1916,20220,169477,8.38,110155,5.45,59322,349000,17.26,0.1,2-02439-0022,"275 168 STREET
Bronx, NY
(40.83363492298151, -73.91358574377372)",MELROSE/CONCOURSE,C7-WALK-UP,23,1914,18936,168902,8.92,111279,5.88,57623,344000,18.17,0.27,2-02466-0044,125 EAST 168 STREET,MELROSE/CONCOURSE,C1-WALK-UP,45,1924,"45,500","388,015",8.53,"252,225",5.54,"135,790","812,000",17.85,0.34
